#see: http://cancer.sanger.ac.uk/cosmic/fusion
#fusion	samples	mutations	papers 
EWSR1-PBX1	67	6	2
EWSR1-POU5F1	73	10	6
EWSR1-SMARCA5	1	1	2
EWSR1-SP3	1	1	2
EWSR1-WT1	267	121	55
EWSR1-YY1	16	2	1
EWSR1-ZNF384	2	2	1
EWSR1-ZNF444_ENST00000337080	67	2	2
EZR-ROS1	1104	7	18
FAM131B_ENST00000443739-BRAF	107	6	6
FBXL18-RNF216	2	2	1
FCHSD1-BRAF	2	1	1
FGFR1-ZNF703	2	2	1
FGFR1_ENST00000447712-PLAG1	16	10	1
FGFR1_ENST00000447712-TACC1	81	1	4
FGFR3-BAIAP2L1	31	1	3
FGFR3-TACC3	330	14	11
FN1-ALK	1	1	2
FUS-ATF1	6	2	5
FUS-CREB3L1	236	4	5
FUS-CREB3L2	332	98	12
FUS-DDIT3	627	351	48
FUS-ERG	52	52	15
FUS-FEV	1	1	2
GATM-BRAF	11	1	1
GMDS-PDE8B	2	2	1
GNAI1-BRAF	96	1	1
GOLGA5-RET	278	3	14
GOPC-ROS1	242	7	15
GPBP1L1-MAST2_ENST00000361297	153	1	1
HACL1-RAF1	11	1	1
HAS2-PLAG1	5	4	4
HERPUD1-BRAF	11	1	1
HEY1-NCOA2	31	8	2
HIP1-ALK	4	4	3
HLA-A-ROS1	38	1	1
HMGA2-ALDH2_ENST00000261733	1	1	1
HMGA2-CCNB1IP1	16	1	1
HMGA2-COX6C	16	1	2
HMGA2-EBF1	2	1	2
HMGA2-FHIT_ENST00000476844	60	1	4
HMGA2-LHFP	5	1	3
HMGA2-LPP	302	73	16
HMGA2-NFIB_ENST00000397581	166	4	9
HMGA2-RAD51B	40	5	5
HMGA2-WIF1_ENST00000286574	74	7	3
HN1-USH1G	2	2	1
HNRNPA2B1-ETV1	219	5	4
HOOK3-RET	55	1	6
IL6R-ATP8B2	2	2	1
INTS4-GAB2	2	2	1
IRF2BP2-CDX1	4	1	1
JAZF1-PHF1	45	5	6
JAZF1-SUZ12	161	72	19
KIAA1549-BRAF	1395	613	81
KIAA1598-ROS1	38	1	1
KIF5B-ALK	2385	10	31
KIF5B-RET	4119	62	53
KLC1-ALK	301	1	6
KLK2-ETV1	25	1	1
KLK2-ETV4	1	1	1
KMT2A-ABI1	2	2	4
KMT2A-ABI2	1	1	1
KMT2A-ACTN4	2	2	2
KMT2A-AFF1	2465	308	74
KMT2A-AFF3	127	4	4
KMT2A-AFF4	21	4	3
KMT2A-ARHGAP26	2	2	3
KMT2A-ARHGEF12	1	1	3
KMT2A-BTBD18	1	1	1
KMT2A-CASC5	6	6	4
KMT2A-CASP8AP2	1	1	1
KMT2A-CBL	1	1	3
KMT2A-CREBBP	7	7	8
KMT2A-CT45A2	1	1	1
KMT2A-DAB2IP	1	1	2
KMT2A-EEFSEC	124	1	1
KMT2A-ELL	43	17	17
KMT2A-EP300	3	3	3
KMT2A-EPS15	131	9	14
KMT2A-FOXO3	2	2	3
KMT2A-FOXO4	1	1	2
KMT2A-FRYL	1	1	1
KMT2A-GAS7	2	2	3
KMT2A-GMPS	1	1	1
KMT2A-GPHN	1	1	2
KMT2A-KIAA0284_ENST00000414716	2	2	3
KMT2A-KIAA1524	1	1	1
KMT2A-LASP1	1	1	3
KMT2A-LPP	1	1	1
KMT2A-MAPRE1	1	1	1
KMT2A-MLLT1	667	86	33
KMT2A-MLLT10	145	23	26
KMT2A-MLLT11	5	5	7
KMT2A-MLLT3	399	75	36
KMT2A-MLLT4_ENST00000392108	29	27	26
KMT2A-MLLT6	2	2	10
KMT2A-MYO1F	1	1	1
KMT2A-NCKIPSD	1	1	2
KMT2A-NRIP3	1	1	1
KMT2A-PDS5A	1	1	1
KMT2A-PICALM	1	1	3
KMT2A-PRRC1	1	1	1
KMT2A-SARNP	1	1	1
KMT2A-SEPT2	2	2	4
KMT2A-SEPT5	2	2	1
KMT2A-SEPT6	6	6	13
KMT2A-SEPT9_ENST00000427177	133	10	14
KMT2A-SH3GL1	1	1	2
KMT2A-SORBS2	1	1	1
KMT2A-TET1	3	3	5
KMT2A-TOP3A	1	1	1
KMT2A-ZFYVE19	1	1	2
KTN1-RET	147	2	9
LIFR_ENST00000263409-PLAG1	97	4	6
LMNA-NTRK1_ENST00000392302	38	2	1
LRIG3-ROS1	675	2	11
LSM14A-BRAF	38	1	1
MARK4-ERCC2	6	0	1
MBOAT2-PRKCE	2	2	1
MBTD1_ENST00000586178-CXorf67_ENST00000342995	27	3	1
MEAF6-PHF1	8	4	3
MKRN1-BRAF	96	1	1
MSN-ALK	2	2	6
MYB_ENST00000341911-NFIB_ENST00000397581	36	11	10
MYO5A-ROS1	38	1	1
NAB2-STAT6	295	246	12
NACC2-NTRK2	96	1	2
NCOA4_ENST00000452682-RET	4431	358	137
NDRG1-ERG	12	3	2
NF1-ACCN1	2	2	1
NFIA-EHF	2	2	1
NFIX_ENST00000360105-MAST1_ENST00000251472	153	1	1
NONO-TFE3	3	1	4
NOTCH1_ENST00000277541-GABBR2	153	1	1
NPM1-ALK	1344	319	86
NTN1-ACLY	2	2	1
NUP107-LGR5	18	1	1
NUP214-ABL1	873	45	16
NUP98-KDM5A_ENST00000399788	77	4	1
OMD-USP6_ENST00000250066	1	1	2
PAX3-FOXO1	1163	382	72
PAX3-NCOA1	6	4	3
PAX3-NCOA2	5	2	2
PAX5-JAK2	3	3	4
PAX7-FOXO1	981	100	56
PAX8-PPARG	1395	86	76
PCM1-JAK2	146	15	16
PCM1-RET	55	1	7
PLA2R1-RBMS1	2	2	1
PLXND1-TMCC1	4	4	1
PML-RARA	635	549	37
PPFIBP1-ALK	3	3	3
PPFIBP1-ROS1	38	2	1
PRCC-TFE3	13	11	11
PRKAR1A-RET	1126	30	38
PTPRK-RSPO3	69	5	4
PWWP2A-ROS1	38	2	1
QKI-NTRK2	96	2	2
RAF1-DAZL	2	2	1
RANBP2-ALK	28	18	11
RBM14-PACS1	2	2	1
RGS22-SYCP1	2	2	1
RNF130-BRAF	96	2	2
SDC4-ROS1	677	5	18
SEC16A_NM_014866.1-NOTCH1_ENST00000277541	153	2	1
SEC31A-ALK	1	1	5
SEC31A-JAK2	132	2	2
SEPT8-AFF4	2	2	1
SET-NUP214	473	41	14
SFPQ-TFE3	4	3	8
SLC22A1-CUTA	2	2	1
SLC26A6-PRKAR2A	2	2	1
SLC34A2-ROS1	1345	12	43
SLC45A3-BRAF	6	1	3
SLC45A3-ELK4	21	9	2
SLC45A3-ERG	260	47	3
SLC45A3-ETV1	218	2	3
SLC45A3-ETV5_ENST00000306376	1	1	1
SND1-BRAF	11	6	2
SQSTM1-ALK	1	1	3
SRGAP3-RAF1	53	4	9
SS18-SSX1	1313	577	136
SS18-SSX2	1314	348	137
SS18-SSX4	259	6	19
SS18L1-SSX1	1	1	1
SSBP2-JAK2	132	1	4
SSH2-SUZ12	2	2	1
STIL-TAL1	1771	284	29
STRN-ALK	545	12	4
SUSD1-ROD1	2	2	1
TADA2A_ENST00000394395-MAST1_ENST00000251472	153	1	1
TAF15-NR4A3	65	16	11
TBL1XR1-TP63	287	9	2
TCEA1_ENST00000521604-PLAG1	99	2	8
TCF12-NR4A3	1	1	4
TCF3-PBX1	3645	301	53
TECTA-TBCEL	2	2	1
TFG-ALK	340	5	25
TFG-NR4A3	4	1	1
TFG-NTRK1_ENST00000392302	495	2	26
THRAP3-USP6_ENST00000250066	1	1	2
TMPRSS2-ERG	6264	2623	114
TMPRSS2-ETV1	1078	21	34
TMPRSS2-ETV4	418	10	19
TMPRSS2-ETV5_ENST00000306376	1	1	4
TP53-NTRK1_ENST00000392302	38	1	2
TPM3-ALK	231	25	27
TPM3-NTRK1_ENST00000392302	629	32	34
TPM3-ROS1	38	1	1
TPM3_ENST00000368530-ROS1	399	2	12
TPM4-ALK	27	6	14
TRIM24-RET	146	1	10
TRIM27-RET	71	1	7
TRIM33_ENST00000358465-RET	146	1	13
UBE2L3-KRAS	1	1	1
VCL-ALK	2	2	5
VTI1A-TCF7L2	98	4	1
YWHAE_ENST00000264335-FAM22A_ENST00000381707	685	2	8
YWHAE_ENST00000264335-NUTM2B	736	13	8
ZC3H7B-BCOR_ENST00000378444	4	2	2
ZCCHC8-ROS1	38	1	1
ZNF700-MAST1_ENST00000251472	153	1	1
ZSCAN30-BRAF	11	1	1
